무인교통단속카메라관리번호,위도,경도,도로노선방향,제한속도,도로명,단속구분,구간길이
cam-su-001,37.2636,127.0286,90,80,영통대로,고정식,
cam-su-002,37.2658,127.0321,270,60,영통로,고정식,
cam-su-003,37.2851,127.0532,180,60,광교중앙로,고정식,
cam-su-004,37.2894,127.0478,0,50,광교호수로,고정식,
cam-su-005,37.2512,127.0198,90,80,수원로,고정식,
cam-su-006,37.2578,127.0102,180,60,매탄로,고정식,
cam-su-007,37.2710,127.0565,90,80,동수원로,고정식,
cam-su-008,37.2789,127.0634,270,60,수원역로,고정식,
cam-su-009,37.3210,127.1088,90,80,수원영동고속도로,구간시작,1800
cam-su-010,37.2985,127.0821,270,80,영동고속도로,구간종료,
cam-yt-001,37.3412,127.1089,180,80,용인서부로,고정식,
cam-yt-002,37.3356,127.0945,90,60,기흥역로,고정식,
cam-yt-003,37.3123,127.1278,0,80,경부고속도로,고정식,
cam-si-001,37.3798,127.1145,270,80,분당수서로,고정식,
cam-si-002,37.3901,127.1212,90,60,탄천로,고정식,
cam-si-003,37.4023,127.0987,180,80,판교역로,고정식,
cam-ic-001,37.4563,126.7052,90,80,인천국제공항고속도로,고정식,
cam-ic-002,37.4489,126.7123,270,60,영종대로,고정식,
cam-se-001,37.4985,127.0280,90,80,테헤란로,고정식,
cam-se-002,37.5012,127.0398,180,60,강남대로,고정식,
cam-se-003,37.4923,127.0156,270,80,서초대로,고정식,
cam-se-004,37.5056,127.0478,0,50,학동로,신호,
cam-dj-001,36.3504,127.3845,90,80,대덕대로,고정식,
cam-dj-002,36.3621,127.3912,180,60,유성로,고정식,
cam-gj-001,35.1595,126.8526,270,80,금남로,고정식,
cam-bs-001,35.1796,129.0756,90,60,해운대로,고정식,
cam-dg-001,35.8714,128.6014,180,80,동대구로,고정식,
cam-us-001,35.5384,129.3114,90,80,울산로,고정식,
cam-cw-001,36.6358,127.4912,270,80,충청대로,고정식,
cam-gw-001,37.8854,127.7298,90,80,경춘로,고정식,
